UID        PID  PPID  C STIME TTY          TIME CMD
rahul     1681  1394  0 12:00 ?        00:00:00 gnome-session --session=gnome-fallback-compiz
rahul     1686  1680  0 12:00 ?        00:00:00 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
root      1692     1  0 12:00 ?        00:00:49 /usr/bin/python /usr/bin/twistd --uid root --gid root --pidfile /var/run/nanny.pid -r glib2 --logfile /var/log/nanny.log -y /usr/share/nanny/daemon/nanny.tap
root      1710     1  0 12:00 tty1     00:00:00 /sbin/getty -8 38400 tty1
rahul     1750  1642  0 12:00 ?        00:00:00 /usr/lib/ibus/ibus-dconf
rahul     1751  1642  0 12:00 ?        00:00:19 /usr/lib/ibus/ibus-ui-gtk3
rahul     1753  1394  0 12:00 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
rahul     1763  1394  0 12:00 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
rahul     1771  1394  0 12:00 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
root      1793     1  0 12:00 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
rahul     1869  1394  0 12:00 ?        00:00:00 /usr/bin/gnome-keyring-daemon --start --components=pkcs11
root      1877     1  0 12:00 ?        00:00:02 /usr/lib/upower/upowerd
rahul     1880  1642  0 12:00 ?        00:00:34 /usr/lib/ibus/ibus-engine-simple
rahul     1912  1394  0 12:00 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit     1914     1  0 12:00 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rahul     2098  1912  0 12:00 ?        00:00:00 /usr/lib/pulseaudio/pulse/gconf-helper
rahul     2100  1394  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
colord    2102     1  0 12:00 ?        00:00:00 /usr/lib/colord/colord
rahul     2104  1394  0 12:00 ?        00:00:00 /usr/lib/dconf/dconf-service
rahul     2107  1662  0 12:00 ?        00:00:17 syndaemon -i 1.0 -t -K -R
rahul     2115  1681  0 12:00 ?        00:02:11 compiz
rahul     2152  1681  0 12:00 ?        00:00:23 gnome-panel
rahul     2156  1681  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
rahul     2157  1681  0 12:00 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
rahul     2160  1681  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
rahul     2167  1681  0 12:00 ?        00:00:11 nm-applet
rahul     2168  1681  0 12:00 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
rahul     2170  1681  0 12:00 ?        00:00:00 /sbin/initctl emit indicator-services-start
rahul     2171  1681  0 12:00 ?        00:00:00 python /usr/share/screenlets-manager/screenlets-daemon.py
rahul     2172  1681  0 12:00 ?        00:01:59 python -u /usr/share/screenlets/screenlets-pack-basic/ClearCalendar/ClearCalendarScreenlet.py
rahul     2174  1394  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
rahul     2177  1394  0 12:00 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
rahul     2186  1394  0 12:00 ?        00:00:02 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
rahul     2192  1394  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
rahul     2200  1394  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
rahul     2202  1394  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
rahul     2212  1394  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/notify-osd
rahul     2269  1394  0 12:00 ?        00:00:00 /usr/bin/gnome-screensaver --no-daemon
root      2345     1  0 12:00 ?        00:00:04 /usr/lib/udisks2/udisksd --no-debug
rahul     2352  1394  0 12:00 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
root      2383     1  0 12:00 ?        00:00:00 /usr/sbin/cupsd -f
lp        2386  2383  0 12:00 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
